SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7316K3B,10.21.8.57,255.255.255.128,10.21.8.126,172.25.8.57,255.255.255.128,172.25.8.126,A1,1000007852,7700555428,50
6CU7316K3H,10.21.8.58,255.255.255.128,10.21.8.126,172.25.8.58,255.255.255.128,172.25.8.126,A1,,,
6CU7316K3N,10.21.8.59,255.255.255.128,10.21.8.126,172.25.8.59,255.255.255.128,172.25.8.126,A1,,,
6CU7316K3V,10.21.8.60,255.255.255.128,10.21.8.126,172.25.8.60,255.255.255.128,172.25.8.126,A1,,,
6CU7316K41,10.21.8.61,255.255.255.128,10.21.8.126,172.25.8.61,255.255.255.128,172.25.8.126,A1,,,
6CU7316K46,10.21.8.62,255.255.255.128,10.21.8.126,172.25.8.62,255.255.255.128,172.25.8.126,A1,,,
6CU7316K4B,10.21.8.63,255.255.255.128,10.21.8.126,172.25.8.63,255.255.255.128,172.25.8.126,A1,,,
6CU7316K4H,10.21.8.64,255.255.255.128,10.21.8.126,172.25.8.64,255.255.255.128,172.25.8.126,A1,,,
6CU7316K4N,10.21.8.65,255.255.255.128,10.21.8.126,172.25.8.65,255.255.255.128,172.25.8.126,A1,,,
6CU7316K4V,10.21.8.66,255.255.255.128,10.21.8.126,172.25.8.66,255.255.255.128,172.25.8.126,A1,,,
6CU7316K51,10.21.8.67,255.255.255.128,10.21.8.126,172.25.8.67,255.255.255.128,172.25.8.126,A1,,,
6CU7316K56,10.21.8.68,255.255.255.128,10.21.8.126,172.25.8.68,255.255.255.128,172.25.8.126,A1,,,
6CU7316K5B,10.21.8.69,255.255.255.128,10.21.8.126,172.25.8.69,255.255.255.128,172.25.8.126,A1,,,
6CU7316K5H,10.21.8.70,255.255.255.128,10.21.8.126,172.25.8.70,255.255.255.128,172.25.8.126,A1,,,
6CU7316K5N,10.21.8.71,255.255.255.128,10.21.8.126,172.25.8.71,255.255.255.128,172.25.8.126,A1,,,
6CU7316K5V,10.21.8.72,255.255.255.128,10.21.8.126,172.25.8.72,255.255.255.128,172.25.8.126,A1,,,
6CU7316K61,10.21.8.73,255.255.255.128,10.21.8.126,172.25.8.73,255.255.255.128,172.25.8.126,A1,,,
6CU7316K66,10.21.8.74,255.255.255.128,10.21.8.126,172.25.8.74,255.255.255.128,172.25.8.126,A1,,,
6CU7316K6B,10.21.8.75,255.255.255.128,10.21.8.126,172.25.8.75,255.255.255.128,172.25.8.126,A1,,,
6CU7316K6H,10.21.8.76,255.255.255.128,10.21.8.126,172.25.8.76,255.255.255.128,172.25.8.126,A1,,,
6CU7316K6N,10.21.8.77,255.255.255.128,10.21.8.126,172.25.8.77,255.255.255.128,172.25.8.126,A1,,,
6CU7316K6V,10.21.8.78,255.255.255.128,10.21.8.126,172.25.8.78,255.255.255.128,172.25.8.126,A1,,,
6CU7316K71,10.21.8.79,255.255.255.128,10.21.8.126,172.25.8.79,255.255.255.128,172.25.8.126,A1,,,
6CU7316K76,10.21.8.80,255.255.255.128,10.21.8.126,172.25.8.80,255.255.255.128,172.25.8.126,A1,,,
6CU7316K7B,10.21.8.81,255.255.255.128,10.21.8.126,172.25.8.81,255.255.255.128,172.25.8.126,A1,,,
6CU7316K7H,10.21.8.82,255.255.255.128,10.21.8.126,172.25.8.82,255.255.255.128,172.25.8.126,A1,,,
6CU7316K7N,10.21.8.83,255.255.255.128,10.21.8.126,172.25.8.83,255.255.255.128,172.25.8.126,A1,,,
6CU7316K7V,10.21.8.84,255.255.255.128,10.21.8.126,172.25.8.84,255.255.255.128,172.25.8.126,A1,,,
6CU7316K81,10.21.8.85,255.255.255.128,10.21.8.126,172.25.8.85,255.255.255.128,172.25.8.126,A1,,,
6CU7316K86,10.21.8.86,255.255.255.128,10.21.8.126,172.25.8.86,255.255.255.128,172.25.8.126,A1,,,
6CU7316K8B,10.21.8.87,255.255.255.128,10.21.8.126,172.25.8.87,255.255.255.128,172.25.8.126,A1,,,
6CU7316K8H,10.21.8.88,255.255.255.128,10.21.8.126,172.25.8.88,255.255.255.128,172.25.8.126,A1,,,
