SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7316KC6,10.20.22.5,255.255.255.128,10.20.22.126,172.26.11.149,255.255.255.0,172.26.11.254,A1,1000007857,7700555611,35
6CU7316KCB,10.20.22.6,255.255.255.128,10.20.22.126,172.26.11.150,255.255.255.0,172.26.11.254,A1,,,
6CU7316KCH,10.20.22.7,255.255.255.128,10.20.22.126,172.26.11.151,255.255.255.0,172.26.11.254,A1,,,
6CU7316KCN,10.20.22.8,255.255.255.128,10.20.22.126,172.26.11.152,255.255.255.0,172.26.11.254,A1,,,
6CU7316KCV,10.20.22.9,255.255.255.128,10.20.22.126,172.26.11.153,255.255.255.0,172.26.11.254,A1,,,
6CU7316KD1,10.20.22.10,255.255.255.128,10.20.22.126,172.26.11.154,255.255.255.0,172.26.11.254,A1,,,
6CU7316KD6,10.20.22.11,255.255.255.128,10.20.22.126,172.26.11.155,255.255.255.0,172.26.11.254,A1,,,
6CU7316KDB,10.20.22.12,255.255.255.128,10.20.22.126,172.26.11.156,255.255.255.0,172.26.11.254,A1,,,
6CU7316KDH,10.20.22.13,255.255.255.128,10.20.22.126,172.26.11.157,255.255.255.0,172.26.11.254,A1,,,
6CU7316KDN,10.20.22.14,255.255.255.128,10.20.22.126,172.26.11.158,255.255.255.0,172.26.11.254,A1,,,
6CU7316KDV,10.20.22.15,255.255.255.128,10.20.22.126,172.26.11.159,255.255.255.0,172.26.11.254,A1,,,
6CU7316KE1,10.20.22.16,255.255.255.128,10.20.22.126,172.26.11.160,255.255.255.0,172.26.11.254,A1,,,
6CU7316KE6,10.20.22.17,255.255.255.128,10.20.22.126,172.26.11.161,255.255.255.0,172.26.11.254,A1,,,
6CU7316KEB,10.20.22.18,255.255.255.128,10.20.22.126,172.26.11.162,255.255.255.0,172.26.11.254,A1,,,
6CU7316KEH,10.20.22.19,255.255.255.128,10.20.22.126,172.26.11.163,255.255.255.0,172.26.11.254,A1,,,
6CU7316KEN,10.20.22.20,255.255.255.128,10.20.22.126,172.26.11.164,255.255.255.0,172.26.11.254,A1,,,
6CU7316KEV,10.20.22.21,255.255.255.128,10.20.22.126,172.26.11.165,255.255.255.0,172.26.11.254,A1,,,
6CU7316KF1,10.20.22.22,255.255.255.128,10.20.22.126,172.26.11.166,255.255.255.0,172.26.11.254,A1,,,
6CU7316KF6,10.20.22.23,255.255.255.128,10.20.22.126,172.26.11.167,255.255.255.0,172.26.11.254,A1,,,
6CU7316KFB,10.20.22.24,255.255.255.128,10.20.22.126,172.26.11.168,255.255.255.0,172.26.11.254,A1,,,
6CU7316KFH,10.20.22.25,255.255.255.128,10.20.22.126,172.26.11.169,255.255.255.0,172.26.11.254,A1,,,
6CU7316KFN,10.20.22.26,255.255.255.128,10.20.22.126,172.26.11.170,255.255.255.0,172.26.11.254,A1,,,
6CU7316KFV,10.20.22.27,255.255.255.128,10.20.22.126,172.26.11.171,255.255.255.0,172.26.11.254,A1,,,
6CU7316KH1,10.20.22.28,255.255.255.128,10.20.22.126,172.26.11.172,255.255.255.0,172.26.11.254,A1,,,
6CU7316KH6,10.20.22.29,255.255.255.128,10.20.22.126,172.26.11.173,255.255.255.0,172.26.11.254,A1,,,
6CU7316KHB,10.20.22.30,255.255.255.128,10.20.22.126,172.26.11.174,255.255.255.0,172.26.11.254,A1,,,
6CU7316KHH,10.20.22.31,255.255.255.128,10.20.22.126,172.26.11.175,255.255.255.0,172.26.11.254,A1,,,
6CU7316KHN,10.20.22.32,255.255.255.128,10.20.22.126,172.26.11.176,255.255.255.0,172.26.11.254,A1,,,
6CU7316KHV,10.20.22.33,255.255.255.128,10.20.22.126,172.26.11.177,255.255.255.0,172.26.11.254,A1,,,
6CU7316KJ1,10.20.22.34,255.255.255.128,10.20.22.126,172.26.11.178,255.255.255.0,172.26.11.254,A1,,,
6CU7316KJ6,10.20.22.35,255.255.255.128,10.20.22.126,172.26.11.179,255.255.255.0,172.26.11.254,A1,,,
6CU7316KJB,10.20.22.36,255.255.255.128,10.20.22.126,172.26.11.180,255.255.255.0,172.26.11.254,A1,,,
6CU7316KJH,10.20.22.37,255.255.255.128,10.20.22.126,172.26.11.181,255.255.255.0,172.26.11.254,A1,,,
6CU7316KJN,10.20.22.38,255.255.255.128,10.20.22.126,172.26.11.182,255.255.255.0,172.26.11.254,A1,,,
6CU7316KJV,10.20.22.39,255.255.255.128,10.20.22.126,172.26.11.183,255.255.255.0,172.26.11.254,A1,,,
