SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU731646C,10.21.15.25,255.255.255.128,10.21.15.126,172.25.15.25,255.255.255.128,172.25.15.126,A1,1000007863,7700554722,41
6CU731646J,10.21.15.26,255.255.255.128,10.21.15.126,172.25.15.26,255.255.255.128,172.25.15.126,A1,,,
6CU731646P,10.21.15.27,255.255.255.128,10.21.15.126,172.25.15.27,255.255.255.128,172.25.15.126,A1,,,
6CU731646W,10.21.15.28,255.255.255.128,10.21.15.126,172.25.15.28,255.255.255.128,172.25.15.126,A1,,,
6CU7316472,10.21.15.29,255.255.255.128,10.21.15.126,172.25.15.29,255.255.255.128,172.25.15.126,A1,,,
6CU7316477,10.21.15.30,255.255.255.128,10.21.15.126,172.25.15.30,255.255.255.128,172.25.15.126,A1,,,
6CU731647C,10.21.15.31,255.255.255.128,10.21.15.126,172.25.15.31,255.255.255.128,172.25.15.126,A1,,,
6CU731647J,10.21.15.32,255.255.255.128,10.21.15.126,172.25.15.32,255.255.255.128,172.25.15.126,A1,,,
6CU731647P,10.21.15.33,255.255.255.128,10.21.15.126,172.25.15.33,255.255.255.128,172.25.15.126,A1,,,
6CU731647W,10.21.15.34,255.255.255.128,10.21.15.126,172.25.15.34,255.255.255.128,172.25.15.126,A1,,,
6CU7316482,10.21.15.35,255.255.255.128,10.21.15.126,172.25.15.35,255.255.255.128,172.25.15.126,A1,,,
6CU7316487,10.21.15.36,255.255.255.128,10.21.15.126,172.25.15.36,255.255.255.128,172.25.15.126,A1,,,
6CU731648C,10.21.15.37,255.255.255.128,10.21.15.126,172.25.15.37,255.255.255.128,172.25.15.126,A1,,,
6CU731648J,10.21.15.38,255.255.255.128,10.21.15.126,172.25.15.38,255.255.255.128,172.25.15.126,A1,,,
6CU731648P,10.21.15.39,255.255.255.128,10.21.15.126,172.25.15.39,255.255.255.128,172.25.15.126,A1,,,
6CU731648W,10.21.15.40,255.255.255.128,10.21.15.126,172.25.15.40,255.255.255.128,172.25.15.126,A1,,,
6CU7316492,10.21.15.41,255.255.255.128,10.21.15.126,172.25.15.41,255.255.255.128,172.25.15.126,A1,,,
6CU7316497,10.21.15.42,255.255.255.128,10.21.15.126,172.25.15.42,255.255.255.128,172.25.15.126,A1,,,
6CU731649C,10.21.15.43,255.255.255.128,10.21.15.126,172.25.15.43,255.255.255.128,172.25.15.126,A1,,,
6CU731649J,10.21.15.44,255.255.255.128,10.21.15.126,172.25.15.44,255.255.255.128,172.25.15.126,A1,,,
6CU731649P,10.21.15.45,255.255.255.128,10.21.15.126,172.25.15.45,255.255.255.128,172.25.15.126,A1,,,
